Date : 2023-06-04 23:35:28
Directory : /mnt/d/ITMO/prog-labs-2sem/lab8
Total : 79 files,  2340 codes, 52 comments, 222 blanks, all 2614 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| java            |         76 |      2,270 |         52 |        210 |      2,532 |
| Gradle          |          2 |         64 |          0 |         11 |         75 |
| Java Properties |          1 |          6 |          0 |          1 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |         79 |      2,340 |         52 |        222 |      2,614 |
| . (Files)                                                                                     |          1 |         14 |          0 |          3 |         17 |
| app                                                                                           |         77 |      2,320 |         52 |        218 |      2,590 |
| app (Files)                                                                                   |          1 |         50 |          0 |          8 |         58 |
| app/bin                                                                                       |         38 |        790 |          0 |          2 |        792 |
| app/bin/main                                                                                  |         38 |        790 |          0 |          2 |        792 |
| app/bin/main/ifmo                                                                             |         38 |        790 |          0 |          2 |        792 |
| app/bin/main/ifmo (Files)                                                                     |          1 |          9 |          0 |          0 |          9 |
| app/bin/main/ifmo/app                                                                         |          1 |         24 |          0 |          0 |         24 |
| app/bin/main/ifmo/commands                                                                    |         17 |        220 |          0 |          1 |        221 |
| app/bin/main/ifmo/data                                                                        |          5 |        117 |          0 |          1 |        118 |
| app/bin/main/ifmo/exceptions                                                                  |          3 |         15 |          0 |          0 |         15 |
| app/bin/main/ifmo/gui                                                                         |          2 |        112 |          0 |          0 |        112 |
| app/bin/main/ifmo/gui/controllers                                                             |          2 |        112 |          0 |          0 |        112 |
| app/bin/main/ifmo/network                                                                     |          1 |         55 |          0 |          0 |         55 |
| app/bin/main/ifmo/requests                                                                    |          1 |          9 |          0 |          0 |          9 |
| app/bin/main/ifmo/utils                                                                       |          7 |        229 |          0 |          0 |        229 |
| app/src                                                                                       |         38 |      1,480 |         52 |        208 |      1,740 |
| app/src/main                                                                                  |         38 |      1,480 |         52 |        208 |      1,740 |
| app/src/main/java                                                                             |         38 |      1,480 |         52 |        208 |      1,740 |
| app/src/main/java/ifmo                                                                        |         38 |      1,480 |         52 |        208 |      1,740 |
| app/src/main/java/ifmo (Files)                                                                |          1 |         15 |         12 |          7 |         34 |
| app/src/main/java/ifmo/app                                                                    |          1 |         26 |          0 |          7 |         33 |
| app/src/main/java/ifmo/commands                                                               |         17 |        431 |          0 |         51 |        482 |
| app/src/main/java/ifmo/data                                                                   |          5 |        280 |          1 |         37 |        318 |
| app/src/main/java/ifmo/exceptions                                                             |          3 |          9 |          0 |          8 |         17 |
| app/src/main/java/ifmo/gui                                                                    |          2 |        132 |         14 |         18 |        164 |
| app/src/main/java/ifmo/gui/controllers                                                        |          2 |        132 |         14 |         18 |        164 |
| app/src/main/java/ifmo/network                                                                |          1 |         82 |          0 |         19 |        101 |
| app/src/main/java/ifmo/requests                                                               |          1 |         28 |          0 |          8 |         36 |
| app/src/main/java/ifmo/utils                                                                  |          7 |        477 |         25 |         53 |        555 |
| gradle                                                                                        |          1 |          6 |          0 |          1 |          7 |
| gradle/wrapper                                                                                |          1 |          6 |          0 |          1 |          7 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                      | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
