Date : 2023-06-09 19:40:32
Directory : /home/anton/itmo/sem2/prog-labs-2sem/lab8
Total : 206 files,  1895 codes, 183 comments, 408 blanks, all 2486 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         89 |      3,150 |        209 |        347 |      3,706 |
| Log             |         23 |        652 |          0 |        213 |        865 |
| XML             |          5 |        180 |          0 |         16 |        196 |
| Java Properties |          6 |         84 |         12 |         14 |        110 |
| Batch           |          1 |         71 |          0 |         22 |         93 |
| CSS             |          2 |         42 |          0 |          6 |         48 |
| Gradle          |          4 |        -14 |         14 |          0 |          0 |
| java            |         76 |     -2,270 |        -52 |       -210 |     -2,532 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        206 |      1,895 |        183 |        408 |      2,486 |
| . (Files)                                                                                                     |          2 |         73 |         12 |         25 |        110 |
| ..                                                                                                            |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../..                                                                                                         |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../..                                                                                                      |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../..                                                                                                   |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../..                                                                                                |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../..                                                                                             |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../../mnt                                                                                         |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../../mnt/d                                                                                       |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../../mnt/d/ITMO                                                                                  |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem                                                                   |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem/lab8                                                              |         79 |     -2,340 |        -52 |       -222 |     -2,614 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem/lab8 (Files)                                                      |          1 |        -14 |          0 |         -3 |        -17 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem/lab8/app                                                          |         77 |     -2,320 |        -52 |       -218 |     -2,590 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem/lab8/app (Files)                                                  |          1 |        -50 |          0 |         -8 |        -58 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem/lab8/app/bin                                                      |         38 |       -790 |          0 |         -2 |       -792 |
| ../../../../../../mnt/d/ITMO/prog-labs-2sem/lab8/app/bin/main                                                 |         38 |       -790 |          0 |         -2 |       -792 |
